General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates start after
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.7780641,8.9927678,7.4680554,9.8148542,14.834073,15.094145,17.825176,15.383298,15.424208,14.349438,11.579581,9.619883,7.6022296,16.947918,33.315121,40.901874,39.810208,38.081956,37.19229,39.874588,35.787108,39.927747,40.329585,38.304373,37.910846,44.036922,45.873811,44.429487,44.646745,47.362754,2024
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.452948,13.822552,15.313371,16.475799,22.609104,23.485591,22.881907,22.12651,20.367977,18.61532,17.642966,17.298286,15.888997,14.588516,27.903486,36.704851,37.462792,39.901871,38.851598,40.713146,42.570079,39.973103,39.336027,33.34124,35.586455,45.889299,43.296758,38.062576,37.339503,38.223458,2024
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.8260147,9.3116863,9.8389507,9.9958891,9.9910849,10.392532,8.5659838,7.1820854,5.9134566,5.0929285,4.7171145,4.0803756,4.8259415,6.027942,5.4950393,10.282325,10.16793,10.062098,9.510229,8.3936603,7.4941269,7.6231794,7.4478931,7.434648,7.8298935,7.9501998,8.2051207,8.0917592,14.627489,15.285257,19.089586,18.503093,20.849113,22.407036,21.863325,21.13316,19.597566,21.802238,20.870062,22.338861,24.532707,24.184585,24.901572,25.024478,25.981139,2024
Netherlands,143.72789,123.92654,111.84604,106.24157,92.859918,83.85586,78.476066,76.043519,78.540773,76.874519,69.860181,69.008782,66.794123,64.610273,59.800392,58.38099,58.16345,57.582767,56.952527,48.183889,46.08408,43.658602,41.326412,38.115462,36.280068,36.053501,35.150885,34.917365,38.088888,39.46066,43.556597,46.877498,52.443797,58.40192,61.917569,67.093096,68.948811,71.292392,73.694593,73.740136,75.020128,74.814412,75.589688,76.665048,73.496949,73.030494,71.245873,65.696316,62.679978,58.601,52.154731,49.414111,48.692685,49.804331,50.095095,49.57984,44.960371,42.741118,54.352302,56.289781,58.897207,61.166928,65.690364,67.160631,67.16591,63.799335,60.882702,55.985728,51.521772,47.597458,53.347794,50.431271,48.345274,45.098206,43.234729,2024
Norway,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.067404,41.071102,41.565059,40.263477,37.786536,39.081613,40.791129,46.571255,53.436341,56.893148,47.683235,43.3953,38.488391,35.405423,35.212364,36.921428,45.995717,38.519394,32.429622,32.338066,28.944201,39.241698,44.995186,53.651698,50.64338,32.737746,28.445878,25.756917,23.57386,24.959494,28.66787,27.233392,33.944999,43.077617,43.829032,42.326586,52.587025,49.515078,47.545024,42.543956,42.951602,29.610855,30.908325,31.427175,29.661327,34.334223,37.938117,38.256533,39.41292,40.558203,46.112391,41.641312,36.110942,44.211779,42.719202,2024
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,89.691044,76.936601,81.946615,83.916324,64.277499,48.739423,43.169165,42.707635,38.691636,39.365669,36.397147,37.161863,41.566248,46.4071,44.908498,46.474198,47.097621,44.427514,46.559363,49.700504,53.747735,54.780204,54.472206,56.859047,51.129965,51.05616,54.128807,50.444303,48.233678,45.211071,56.584671,53.013585,48.785915,49.71811,55.282218,2024
Portugal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.635641,20.321388,19.012841,17.807647,17.44451,25.295294,30.799295,32.228411,36.162084,24.67699,35.003265,43.195232,47.219237,51.297804,56.889441,61.246053,60.809186,58.211623,57.79821,56.318261,60.213027,63.915451,58.095741,57.231096,60.421384,62.214774,63.31226,58.71551,55.615697,55.405536,54.193086,57.380182,60.043745,63.897307,67.099497,72.249082,73.679427,72.727962,75.642592,87.799038,100.07539,114.02387,128.60352,130.84079,132.45326,131.0233,131.18025,126.02922,121.1123,116.10971,134.09638,123.87825,111.23173,97.732783,94.927404,2024
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.2558,23.94078,21.312376,30.339356,32.824757,33.781414,47.000255,50.49807,51.199307,45.366935,43.523574,41.876917,34.87675,31.433865,30.337112,28.613,36.383832,40.637482,43.250137,51.674206,54.582626,53.347405,51.524328,52.04664,51.28554,49.188432,47.918348,58.30461,60.061063,57.570591,55.996596,58.016539,2024
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.875179,18.228097,21.597797,22.096812,22.820613,23.81716,26.085448,26.323934,27.682339,27.027581,27.100496,26.588528,26.207564,22.943364,21.893853,34.940539,38.607188,46.814764,54.073903,70.836235,81.133002,83.418152,79.430288,74.889913,71.00659,66.020371,80.169966,74.832092,72.738663,68.394182,67.039083,2024
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.106555,19.449588,24.428127,29.516249,36.023336,40.866075,42.073322,41.915137,38.501906,39.869669,41.304267,41.863747,44.132982,54.567271,57.018953,61.586475,65.441953,64.2863,62.354666,60.853144,57.840514,54.052228,51.236868,47.686949,45.332696,42.39519,39.019058,35.698127,39.6088,53.079279,60.26603,69.52841,89.56038,100.00031,104.41762,102.44212,101.9665,101.14424,99.718283,97.578816,119.17898,115.59391,109.40393,105.03426,101.82044,2024
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.469387,27.82541,27.685224,27.024738,27.372383,26.603891,24.819755,26.935373,31.111936,35.650989,39.808513,46.95316,55.605621,58.875072,59.986364,59.66507,59.164897,52.649012,47.202419,42.912027,38.969887,46.86488,58.966183,66.096477,68.551374,68.692631,68.933618,67.701155,65.39963,60.278689,50.438187,51.985968,49.839962,49.444645,48.665728,48.897303,43.840028,39.198756,37.952244,41.192322,38.592934,37.669829,37.992414,40.776753,45.686272,44.456223,42.786434,41.558426,39.809703,35.694355,40.139073,36.685462,33.62902,31.460915,32.642485,2024
Switzerland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.322485,33.005222,32.417934,31.128789,30.239281,28.993612,26.941506,33.33143,35.092407,39.487218,44.372402,47.078919,49.994437,51.339083,53.671176,55.938444,52.685049,52.225356,51.07727,57.699737,56.876919,57.802975,54.884316,48.46323,44.750984,44.817402,43.091054,41.456666,41.882551,42.56903,41.947608,42.070336,42.160255,40.933626,41.751039,39.783452,39.637382,43.200142,40.980365,37.191378,38.679454,37.577806,2024
"Türkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.318469,75.509067,71.506141,65.1598,57.158377,50.196038,44.225348,37.758743,37.748024,43.211957,39.51069,35.911786,32.226663,30.892401,28.277361,27.162614,27.746645,27.777075,29.859528,32.38982,39.445803,40.38396,30.802472,29.262843,25.970907,2024
United Kingdom,179.89667,162.18009,150.14853,140.87122,135.84146,127.55345,119.0355,112.63947,108.93689,103.3618,97.938579,94.152184,90.98159,89.213628,82.645272,77.227696,74.67233,71.868372,70.964438,66.036904,73.421641,67.936117,65.039682,58.538645,56.166139,49.589365,47.683601,53.680622,47.254308,44.521022,43.709274,41.131367,44.700805,44.199324,44.139236,42.894147,42.862741,41.752464,36.584168,31.43626,28.262052,28.722,33.977266,42.115983,40.703311,45.057845,44.738476,44.132032,41.969512,40.409759,37.685691,34.957749,35.434462,36.763689,39.801548,41.000423,42.058289,43.173898,50.827372,64.915012,75.86023,81.425066,84.482601,85.316059,87.094325,87.866687,87.82519,86.722814,86.345145,85.657192,105.84011,105.13074,99.613684,100.36298,101.28941,2024
United States,83.126037,72.955032,72.525492,71.753219,73.568066,68.498633,64.726033,62.329546,64.927332,62.335885,60.832947,61.393351,59.371678,57.954916,55.988829,53.060492,50.144581,50.395849,48.73687,45.939659,46.228617,46.639114,45.073158,42.257212,41.160763,44.419521,44.598714,43.301052,42.086737,40.668018,41.268459,40.390362,45.01271,47.920336,49.568908,54.205577,57.663935,59.466124,60.338227,60.455952,62.162725,66.545629,68.809346,70.796786,69.579457,69.110259,68.234457,65.839581,62.603912,59.031395,53.169404,53.331469,55.722557,58.803416,66.277188,65.607959,64.343452,64.739251,73.589542,86.786798,95.347358,99.680764,103.24415,104.52196,104.42918,104.85393,106.78034,105.72778,107.04127,108.19672,132.03249,124.71632,118.8064,118.99808,120.78568,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
