Country Name,"Country Code","Series Name","Series Code","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Mexico,"MEX","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","34.9992712889592","34.3783832235168","20.6256287259247","15.9283950119353","16.5856169707538","9.49156149435403","6.36773806235037","5.03072733151295","4.54690012118718","4.68840884843143","3.98805714597437","3.62946762439132","3.96684905458235","5.12498274575896","5.29735584228856","4.15672722680174","3.40737824605742","4.11150981070289","3.80639069747204","4.01861608078679","2.72064064964023","2.8217078474766","6.04145724018986","4.89935015356551","3.63596142127046","3.39683415570006","5.68920847683753","7.8962761916855","5.52796087314389","4.72225588452932","#N/A"
Netherlands,"NLD","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.92322457166359","2.11378787066774","2.10924562739483","1.95913632274257","2.1571791805505","2.36052233801958","4.15584127195612","3.28753104712766","2.09199838997655","1.26364739183177","1.6881301786962","1.10150106517709","1.61385859802102","2.48650198289457","1.18977687021548","1.27530569556679","2.34107017751373","2.45554765291614","2.50689852657875","0.976035079699679","0.600248147278776","0.316666666666652","1.38145871407216","1.70349794744479","2.63369910249591","1.27246037789161","2.67572008805385","10.0012078753473","3.83839354342808","3.34754304219953","#N/A"
Russian Federation,"RUS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","197.414268084251","47.7520122009939","14.761329268806","27.6856798076742","85.7464940960636","20.7987606558704","21.4770072117159","15.7887307914463","13.6632930228666","10.8886157326216","12.6853039507349","9.66865454789265","9.00729868861079","14.1107677840442","11.6473295764118","6.84939230255025","8.4404648593257","5.07474300799149","6.75466833903486","7.82016970013845","15.5343959935701","7.04243725413707","3.68333072334495","2.87831382614981","4.47202631837903","3.38219796948068","6.69445891957612","13.7436797398232","5.86571931748967","8.43486410496723","#N/A"
Saudi Arabia,"SAU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.86843103056033","1.22206054877756","0.0571506050626489","-0.37126675171199","-1.33375489653896","-1.12499838517645","-1.12094804896791","0.247186492339686","0.612195358172966","0.5155078977673","0.479231671630955","2.20902314069647","4.16782358431579","9.87024816760266","5.0572227614833","5.33941733020905","5.8262163739404","2.86627029905053","3.51104209799866","2.24185348779063","1.22269318552328","2.05347076823965","-0.834845735027162","2.46594308994843","-1.19298644533328","3.37234961012303","3.06328988941548","2.47407371925372","2.32708518362706","1.68792112375809","#N/A"
Spain,"ESP","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.67380337624704","3.55884559338557","1.97107395582926","1.83432999908409","2.31034813987067","3.43351563418766","3.58983413338112","3.06565685902219","3.03888839396655","3.03924881090924","3.36881409750383","3.51557576832128","2.78679745804945","4.07534335957339","-0.28781308353524","1.79986457728768","3.1961018883379","2.44612782366808","1.40858109183018","-0.151114837527234","-0.500365709903242","-0.202598000426452","1.95607633363963","1.6749813686379","0.699518994458738","-0.322753017299739","3.09313511976419","8.39057634118626","3.53236133492432","2.77417826534772","#N/A"
Switzerland,"CHE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.79982776867149","0.811634064628187","0.52022542273664","0.0179384378439321","0.806444380959459","1.55852919679008","0.989020329832545","0.642711506543277","0.638272930887189","0.802908730955226","1.17195420333702","1.05950928324804","0.732350603122236","2.42604117060157","-0.480481936423304","0.688238707219974","0.2313492076509","-0.692552018105163","-0.217323155115672","-0.0132025387515945","-1.14390867228178","-0.434618664285814","0.533787839825876","0.936335464113572","0.362886179940674","-0.725874933313402","0.581814168489855","2.83502798644451","2.13540088016386","1.06234041976594","#N/A"
Turkiye,"TUR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","89.1133172248499","80.4121511388042","85.6693616499779","84.6413434846314","64.8674876350757","54.9153705812683","54.4001887619074","44.964120947985","21.6024384490573","8.59826168115262","8.17916036802008","9.59724212288446","8.75618090972632","10.4441283764885","6.25097663090626","8.56644420552976","6.471879671151","8.89156996512163","7.49309030547693","8.85457271364316","7.67085364845885","7.7751341532833","11.1443110840764","16.3324638988929","15.1768215720022","12.2789574462574","19.5964926913324","72.3088359891207","53.8594087593315","58.5064507300342","#N/A"
United Kingdom,"GBR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.69749518304432","2.85178236397749","2.20114313510882","1.82056163731557","1.7529508005142","1.18295624210408","1.53234960272418","1.52040245947455","1.37650038542013","1.39039756680422","2.0891364902507","2.4556616643929","2.38656150773327","3.52140856342539","1.96173173560109","2.49265472467065","3.8561124468282","2.5732347965453","2.29166666666659","1.45112016293279","0.36804684232536","1.0084173681141","2.55775577557747","2.29283990345938","1.73810460086513","0.989486703772491","2.51837109614213","7.92204883147902","6.79396706793963","3.2715729463592","#N/A"
United States,"USA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.80541968853662","2.93120419993441","2.33768993730735","1.55227909874364","2.18802719697358","3.37685727149929","2.82617111885407","1.58603162650601","2.27009497336115","2.67723669309172","3.3927468454955","3.22594410070404","2.85267248150138","3.839100296651","-0.355546266299747","1.6400434423899","3.156841568622","2.06933726526067","1.46483265562717","1.62222297740817","0.118627135552451","1.26158320570536","2.13011000365961","2.44258329692817","1.81221007526021","1.23358439630629","4.69785886363742","8.00279982052121","4.11633838374488","2.94952520485207","#N/A"
Hungary,"HUN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","28.3054683706654","23.4690301919185","18.3050744143799","14.153789654534","9.99774409303368","9.80361016908125","9.11680911680911","5.26544821583985","4.66101694915254","6.74434679569469","3.56151711378352","3.93032603841001","7.9587451654491","6.0425125388106","4.21171171171171","4.85555795691956","3.9299209893507","5.65214517088646","1.73319984983101","-0.227566270988219","-0.0616446800641672","0.394769306686392","2.34824281150154","2.85024792594646","3.33858635382008","3.32674385766738","5.11096534382855","14.6081439492433","17.1249659678737","3.70370370370369","#N/A"
