Country Name,Year,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),Inflation (Annual %),Wealth Inequality (Top 10%),Wealth Inequality (Bottom 50%),Year_Raw,General Government Debt (% of GDP)
Costa Rica,2008,7.90900698278232,0.638293618731074,4.73817487754022,24.6107400918404,1.35616451871952,13.4244635507283,0.6448,0.0365,,
Costa Rica,2009,5.25151067245965,0.892145374810749,-0.873455942787785,18.4529135968439,1.33639622760454,7.84270167700653,0.6448,0.0365,2009,26.086626
Costa Rica,2010,5.06371170213526,0.84366849196,5.36034352634111,19.8339185211217,1.24057536472066,5.66275708420021,0.6444000000000001,0.0366,2010,28.199326
Costa Rica,2011,6.39172539644787,0.947210573551154,4.40315923970431,20.0481795975156,1.17549258554055,4.87799830970702,0.6458,0.0363,2011,29.991697
Costa Rica,2012,5.70866124854743,1.8918674692721,4.88259241025739,19.8541955079701,1.16676672488044,4.49545314354605,0.641,0.0372,2012,34.120779
Costa Rica,2013,6.29127735209415,1.57789817811827,2.49476611209954,19.5904601620008,1.11328546681261,5.23133614174428,0.6507000000000001,0.0353,2013,35.387792
Costa Rica,2014,6.23293662208767,0.815916446435849,3.54210987765977,19.2231532892007,1.07499865275958,4.51920098516953,0.6501,0.0354,2014,37.83697
Costa Rica,2015,5.23639457671538,0.733874239495728,3.65208096802883,18.8537264424501,1.06246520512643,0.801982005099623,0.6561,0.0342,2015,40.204355
Costa Rica,2016,4.45296211770326,0.838445973431176,4.20432325175899,18.888940977993,1.01105286688192,-0.0174788505908217,0.6723,0.0308,2016,44.385987
Costa Rica,2017,4.83327522078441,0.450812025348974,4.1576989627609,18.0648742424157,0.944345948457895,1.62590692991731,0.6502,0.0354,2017,47.434115
Costa Rica,2018,4.829438721344,0.930392938415943,2.6159044043379,18.3698605660091,0.904494518403601,2.2211146152658,0.6482,0.0358,2018,52.255879
Costa Rica,2019,4.22094016659811,0.0370836818350854,2.41751181762513,16.0640851994464,0.838278384859255,2.09604635327807,0.6767000000000001,0.0299,2019,56.922402
Costa Rica,2020,3.37043523313038,0.735208781376323,-4.27335432161462,16.1630546690345,0.6929953994471,0.724911478131375,0.7035,0.0237,2020,67.380816
Costa Rica,2021,5.53072986406838,0.687526147382902,7.93576224743147,18.5817848852788,0.508564932290693,1.72647755109241,0.7109000000000001,0.0219,2021,68.144073
Costa Rica,2022,5.4175310653788,1.4442383878191,4.55149177958398,17.6973336496207,0.429453043658398,8.27477490232654,0.6281,0.0397,2022,63.498513
Czech Republic,1995,4.23883721598216,0.060447247936366,6.22140598863832,33.8561860572745,-0.0613140627238111,8.99052361478448,0.5615,0.0509,1995,13.476376
Czech Republic,1996,2.11680269383607,0.228151789769657,4.16858426915319,35.8320529231384,-0.11638129923463,8.75877472878111,0.5617,0.0509,1996,11.506143
Czech Republic,1997,2.05707979520759,0.0442245017141253,-0.595838414214853,32.6953430221502,-0.107762749274352,8.59615666715564,0.5611,0.0509,1997,12.123598
Czech Republic,1998,5.50725202620316,0.186570297505388,-0.393150193750415,30.7431840522591,-0.0947447516571582,10.6983655274888,0.5621,0.0508,1998,13.876998
Czech Republic,1999,9.62483232120859,0.137194818397539,1.37836060943835,29.7451345778523,-0.102175934295454,2.13544844417329,0.5619000000000001,0.0508,1999,15.087848
Czech Republic,2000,8.02095314137193,0.0686416458914502,4.010669619984,31.8350210442972,-0.280414108078884,3.77538829151729,0.5616,0.0509,2000,16.894528
Czech Republic,2001,8.27868500809023,0.24168938861601,2.9172195289956,32.0060318555442,-0.375719704335905,4.66267556988257,0.5618000000000001,0.0508,2001,22.596885
Czech Republic,2002,10.2854716819753,0.25590367822359,1.51345949139996,30.4816181826653,-0.192901617564167,1.90298097019026,0.5614,0.0509,2002,25.703152
Czech Republic,2003,2.01250274928445,0.207077042201683,3.300836832613,29.5495865624593,-0.028620590719166,0.118739205526814,0.5615,0.0509,2003,28.061586
Czech Republic,2004,5.34629831368761,2.06676901573978,4.73633969683438,29.8242716361965,0.0304348483027166,2.76010781671153,0.5618000000000001,0.0508,2004,28.288733
Czech Republic,2005,10.0027291342114,1.53085672495637,6.37502886086791,29.2856028582089,0.138325980046718,1.85709789109228,0.5621,0.0508,2005,27.677815
Czech Republic,2006,4.56488300562003,1.97734948714015,6.62317299177447,30.0796940275085,0.270795629232185,2.53399258343633,0.5655,0.0504,2006,27.564803
Czech Republic,2007,7.26984053281639,2.55309454048771,5.48882595164517,32.1072107272958,0.583542205385113,2.8531243721117,0.5691,0.05,2007,27.34598
Czech Republic,2008,3.72734017480649,2.77276294778781,2.61226807205139,30.9994095449633,0.829412602993033,6.3586638015237,0.5730000000000001,0.0495,2008,28.154947
Czech Republic,2009,2.54701925348654,1.60412630691447,-4.79832416684926,26.3978882297703,0.569729451418061,1.01937735329229,0.5673,0.0502,2009,33.430499
Czech Republic,2010,4.81502985527419,2.48586521574467,2.71466509907701,26.7312876523202,0.29136167418042,1.47272727272728,0.5709000000000001,0.0498,2010,36.70009
Czech Republic,2011,1.80994155301699,0.689707293951698,1.77238085338473,26.6053370220652,0.206747667335417,1.9172191363555,0.5719000000000001,0.0497,2011,39.401957
Czech Republic,2012,4.48424380759869,1.54617016095562,-0.770668190622743,25.6688421143623,0.139925655740972,3.28762306610411,0.5722,0.0496,2012,43.835303
Czech Republic,2013,3.45386726376292,3.63224095093192,-0.0418124160447491,24.3768606031502,0.0331699460503076,1.4382978723404,0.5752,0.0493,2013,44.141092
Czech Republic,2014,3.83510153423089,1.9317259372448,2.24521219862635,25.3494353917128,0.105277581527518,0.343988589646793,0.5797,0.0487,2014,41.54618
Czech Republic,2015,0.898913491904098,1.9703845042454,4.95875848915604,26.9686249210792,0.196588748472653,0.309364548494975,0.5760000000000001,0.0492,2015,39.469493
Czech Republic,2016,5.47566421423918,1.5841702547487,2.58087013921376,25.0750046974725,0.192048415842684,0.683504209385702,0.5757,0.0492,2016,36.232214
Czech Republic,2017,5.07066240955503,4.24269731572456,5.17356529967881,25.0897410946251,0.265642663548985,2.4505339846014,0.5782,0.0489,2017,33.781826
Czech Republic,2018,3.30353998283407,2.41274128588425,2.83030588267866,25.6426079021172,0.334427262299794,2.14949494949492,0.5807,0.0487,2018,31.677756
Czech Republic,2019,4.18705737619001,1.85997139763017,3.56577658128261,26.171850655873,0.393788864202175,2.84787595918041,0.5809000000000001,0.0486,2019,29.551736
Czech Republic,2020,3.39114066226469,0.831229365623544,-5.30487955463876,24.7302051809802,0.243222682211879,3.1612952849781,0.5802,0.0487,2020,36.882939
Czech Republic,2021,4.43029524586196,3.967694097711,4.02901832055149,28.1285338444502,-1.81187141002542,3.83984491500146,0.5814,0.0486,2021,40.692005
Czech Republic,2022,3.02937517288668,1.87936942184381,2.8471706583814,31.0333010301464,1.5709725672011,15.100165146837,0.5809000000000001,0.0486,2022,42.520375
Denmark,1995,2.23936020307567,1.60600182804807,3.03802150461165,20.6446400534927,0.520962181078711,2.08360842382854,0.5226000000000001,0.0266,1995,71.453829
Denmark,1996,0.412544985702368,1.33904797238626,2.89575069230459,20.0192738426291,0.565926341934592,2.12629802275577,0.5257000000000001,0.026,1996,68.31606
Denmark,1997,1.61143462898396,2.51371880354085,3.16848143784479,22.0150354063714,0.415564969331455,2.1821667790712,0.5509000000000001,0.0189,1997,64.388165
Denmark,1998,3.77361587089095,2.382783772135,2.32630274538961,22.5996961616985,0.363162523600756,1.84565122007883,0.5505,0.0183,1998,60.318608
Denmark,1999,9.4710973726909,10.0170424207014,2.96730536257029,20.8350374028012,0.330886246186545,2.49779544404529,0.5563,0.025,1999,56.788828
Denmark,2000,21.9534625057579,17.3009984441487,3.72400899471576,22.2944061771116,0.334233618829261,2.90328203236461,0.5425,0.0354,2000,53.552572
Denmark,2001,5.63216582111414,7.97756572879833,0.95003224600012,21.7493884508849,0.358315678955486,2.33787000255262,0.5197,0.0321,2001,50.096446
Denmark,2002,2.47818532882922,1.48201438879356,0.456530018779986,21.256815503883,0.319487125340996,2.42443661219694,0.5126000000000001,0.0229,2002,50.319806
Denmark,2003,0.542449723524164,0.392037620688142,0.441091006625101,20.885998901756,0.272010444031566,2.07507820646506,0.5063,0.0341,2003,48.162303
Denmark,2004,-3.49390841296768,-3.94066508675741,2.77635180744053,21.6460819600503,0.258432282052875,1.15435693124934,0.5098,0.0418,2004,46.215143
Denmark,2005,4.8451921902896,6.39954661609933,2.35960882992528,22.1713094338111,0.275481733409308,1.81781458291254,0.5165000000000001,0.052,2005,39.359931
Denmark,2006,0.841695783435792,2.82281947339076,3.81648769908172,24.2627515456151,0.328645158919929,1.92422138464584,0.5118,0.0555,2006,33.191019
Denmark,2007,3.68799602330786,5.41271517571474,0.987173815945127,25.231367727118,0.443466054321374,1.69326586220324,0.5111,0.0535,2007,29.482647
Denmark,2008,0.617279543987987,5.28083733969975,-0.417178439991005,24.0357328016323,0.587547590258978,3.41626794258374,0.4891,0.0479,2008,35.53918
Denmark,2009,1.17142791849018,1.91273135196306,-4.97447905669058,19.0326255602397,0.535079062079429,1.30470991024335,0.5092,0.0299,2009,43.048747
Denmark,2010,-3.56794135328115,-0.178015977877783,1.58289703108802,17.8221551141916,0.444197154509531,2.31092436974786,0.5107,0.0346,2010,46.123275
Denmark,2011,3.93792637361731,3.81132554606203,1.3108037609606,18.9874945831856,0.411737855195019,2.7586822605125,0.5006,0.0295,2011,49.986205
Denmark,2012,-5.00312031968255,-3.34724261393109,-0.0054323016167074,19.2269717517509,0.376272242619955,2.3979148566464,0.4938,0.0413,2012,48.71121
Denmark,2013,0.197410828523168,2.0335771765947,1.39267343161971,19.3525146403367,0.416901360752097,0.789071780078062,0.4996,0.0407,2013,47.769891
Denmark,2014,1.86415567840611,2.81142237397008,1.27799983192831,20.1482030437865,0.507053283010163,0.56402054044954,0.5041,0.0403,2014,48.712443
Denmark,2015,0.61075067778712,2.48056772388888,2.10441456445301,20.5435311718122,0.706423849687002,0.452034153691574,0.5018,0.0405,2015,44.550356
Denmark,2016,2.49983169836595,5.73334263663049,3.07304549209093,21.680712423112,0.780392644135167,0.250000000000031,0.5032,0.0404,2016,41.691946
Denmark,2017,1.08780490285886,3.05876570750653,3.05647723922718,21.9568242214893,0.643350903737356,1.14713216957601,0.5064000000000001,0.0401,2017,40.152558
Denmark,2018,2.46670057625106,1.78159660766636,1.8600074900921,22.5323146804877,0.495838925879129,0.813609467455631,0.5075000000000001,0.0401,2018,38.538748
